GENE	Wt0A T-1.5	Wt0A T0	Wt0A T2	wtsF T2
ycnJ	-0.111031312	3.95419631	2	-0.321928095
yjdD	1	-2.321928095	-3.807354922	-1.584962501
ctaA	-0.263034406	-2.906890596	2	-0.321928095
ytbQ	-1.276840205	0.584962501	2.693022247	3.014950341
ylxL	-0.545434137	-2.736965594	0.584962501	2
aroH	0	0	4	0
ydaL	-0.549338591	2.691877705	3.169925001	-0.473931188
yddN	2	2.807354922	-0.584962501	-1.321928095
ycdC	0.584962501	1.736965594	3.807354922	-0.893084796
infA	-2.574115118	-2.115477217	1.378511623	0.700439718
sacV	2	3.169925001	1.321928095	-1.485426827
murF	-1.392317423	0	2.906890596	-1.137503524
yttP	0.523561956	3.363748271	3.394397733	-0.449951396
yopN	0	-2.584962501	1.584962501	1.584962501
yvaX	-0.169925001	3.827819025	0.678071905	-0.459431619
yvqI	-2.584962501	1.754887502	1.35614381	0.476438044
spoIIIAH	0	0	3.922832139	0
yodP	0	-0.736965594	3.614709844	0
yusM	0	-0.807354922	1.440572591	3.662965013
ywkD	4.95419631	3.906890596	1.378511623	0.893084796
cheB	-1.966833136	-3.906890596	-0.415037499	0.584962501
hisG	-1.415037499	-2.807354922	-4.584962501	0
yxiC	2.700439718	2.502500341	2	-1.459431619
yrrU	0.556393349	-3	-1.736965594	1.169925001
ydgH	-1	0	-4.523561956	-2
spoVID	-0.956931278	0.293731203	2.967819594	2.84582907
